proxy,type,working,latency,country,region,city,continent,lat,lon
35.179.146.181:3128,socks5,true,109.00,GB,England,London,Europe,51.516400,-0.093000
35.152.137.65:26038,socks5,true,110.00,IT,Lombardy,Milan,Europe,45.472200,9.192200
161.35.70.249:1080,socks5,true,149.00,DE,Hesse,Frankfurt am Main,Europe,50.116900,8.683700
35.180.23.174:3128,socks5,true,134.00,FR,Île-de-France,Paris,Europe,48.855800,2.349400
18.203.249.67:10010,socks5,true,133.00,IE,Leinster,Dublin,Europe,53.338200,-6.259100
18.100.217.180:3128,socks5,true,168.00,ES,Aragon,Zaragoza,Europe,41.657900,-0.877700
57.129.81.201:1080,socks5,true,195.00,DE,Hesse,Frankfurt am Main,Europe,50.116200,8.669300
51.84.110.224:3128,socks5,true,259.00,IL,Tel Aviv,Tel Aviv,Asia,32.080400,34.780700
109.135.16.145:49879,socks5,true,316.00,BE,Brussels Capital,Anderlecht,Europe,50.835100,4.317900
104.248.197.67:1080,socks5,true,322.00,NL,North Holland,Amsterdam,Europe,52.352000,4.939200
159.203.61.169:1080,socks5,true,403.00,CA,Ontario,Toronto,North America,43.709000,-79.405700
78.157.48.221:1080,socks5,true,408.00,IR,,,Asia,35.698000,51.411500
3.72.40.248:50202,socks5,true,449.00,DE,Hesse,Frankfurt am Main,Europe,50.116900,8.683700
138.68.60.8:1080,socks5,true,511.00,US,California,Santa Clara,North America,37.348600,-121.973200
199.229.254.129:4145,socks5,true,525.00,US,,,North America,37.751000,-97.822000
192.111.137.35:4145,socks5,true,525.00,US,,,North America,37.751000,-97.822000
199.58.185.9:4145,socks5,true,534.00,US,,,North America,37.751000,-97.822000
192.252.208.67:14287,socks5,true,537.00,US,,,North America,37.751000,-97.822000
192.111.139.165:4145,socks5,true,538.00,US,,,North America,37.751000,-97.822000
192.111.139.162:4145,socks5,true,535.00,US,,,North America,37.751000,-97.822000
199.58.184.97:4145,socks5,true,521.00,US,,,North America,37.751000,-97.822000
74.119.147.209:4145,socks5,true,523.00,US,,,North America,37.751000,-97.822000
192.111.137.34:18765,socks5,true,529.00,US,,,North America,37.751000,-97.822000
192.111.135.17:18302,socks5,true,538.00,US,Georgia,Atlanta,North America,33.938100,-84.463300
192.111.139.163:19404,socks5,true,530.00,US,,,North America,37.751000,-97.822000
184.170.249.65:4145,socks5,true,545.00,US,,,North America,37.751000,-97.822000
192.111.138.29:4145,socks5,true,541.00,US,,,North America,37.751000,-97.822000
192.111.137.37:18762,socks5,true,536.00,US,,,North America,37.751000,-97.822000
184.170.248.5:4145,socks5,true,538.00,US,,,North America,37.751000,-97.822000
192.111.130.5:17002,socks5,true,534.00,US,,,North America,37.751000,-97.822000
192.252.208.70:14282,socks5,true,538.00,US,,,North America,37.751000,-97.822000
139.59.1.14:1080,socks5,true,554.00,IN,Karnataka,Bengaluru,Asia,12.975300,77.591000
72.195.34.59:4145,socks5,true,561.00,US,,,North America,37.751000,-97.822000
72.195.114.169:4145,socks5,true,567.00,US,,,North America,37.751000,-97.822000
18.61.87.35:4263,socks5,true,565.00,IN,Telangana,Hyderabad,Asia,17.384300,78.458300
98.188.47.150:4145,socks5,true,562.00,US,Kansas,,North America,38.982200,-94.671900
184.178.172.18:15280,socks5,true,561.00,US,Virginia,Roanoke,North America,37.268100,-79.940400
184.181.217.194:4145,socks5,true,566.00,US,,,North America,37.751000,-97.822000
98.188.47.132:4145,socks5,true,563.00,US,Kansas,,North America,38.982200,-94.671900
98.170.57.249:4145,socks5,true,565.00,US,,,North America,37.751000,-97.822000
98.181.137.80:4145,socks5,true,568.00,US,Nevada,North Las Vegas,North America,36.218000,-115.170900
174.64.199.79:4145,socks5,true,563.00,US,Louisiana,,North America,29.981300,-90.166300
184.181.217.206:4145,socks5,true,572.00,US,,,North America,37.751000,-97.822000
68.1.210.163:4145,socks5,true,567.00,US,California,San Diego,North America,32.709700,-117.122800
184.178.172.13:15311,socks5,true,569.00,US,Virginia,Roanoke,North America,37.268100,-79.940400
184.181.217.220:4145,socks5,true,573.00,US,,,North America,37.751000,-97.822000
104.248.203.234:1080,socks5,true,581.00,NL,North Holland,Amsterdam,Europe,52.352000,4.939200
24.249.199.4:4145,socks5,true,570.00,US,California,San Diego,North America,32.740500,-117.093500
68.71.249.153:48606,socks5,true,582.00,US,,,North America,37.751000,-97.822000
174.77.111.196:4145,socks5,true,565.00,US,,,North America,37.751000,-97.822000
98.181.137.83:4145,socks5,true,565.00,US,Nevada,North Las Vegas,North America,36.218000,-115.170900
184.178.172.26:4145,socks5,true,564.00,US,Virginia,Roanoke,North America,37.268100,-79.940400
72.37.217.3:4145,socks5,true,578.00,US,,,North America,37.751000,-97.822000
98.178.72.21:10919,socks5,true,577.00,US,,,North America,37.751000,-97.822000
184.178.172.23:4145,socks5,true,568.00,US,Virginia,Roanoke,North America,37.268100,-79.940400
107.181.168.145:4145,socks5,true,585.00,US,,,North America,37.751000,-97.822000
72.195.34.60:27391,socks5,true,573.00,US,,,North America,37.751000,-97.822000
174.77.111.198:49547,socks5,true,572.00,US,,,North America,37.751000,-97.822000
72.195.34.41:4145,socks5,true,580.00,US,,,North America,37.751000,-97.822000
184.181.217.213:4145,socks5,true,565.00,US,,,North America,37.751000,-97.822000
104.200.152.30:4145,socks5,true,591.00,US,California,Los Angeles,North America,34.048100,-118.253100
184.181.217.210:4145,socks5,true,569.00,US,,,North America,37.751000,-97.822000
174.77.111.197:4145,socks5,true,572.00,US,,,North America,37.751000,-97.822000
184.178.172.14:4145,socks5,true,572.00,US,Virginia,Roanoke,North America,37.268100,-79.940400
